District,Soil_Type,Rainfall_mm,Crop,Season,Area_ha,Production_tonnes,Yield_tpha,Year
Vizianagaram,Red Loam,869,Cotton,Kharif,17543,31752,1.81,2017
Vizianagaram,Red Loam,870,Millets,Kharif,83644,131321,1.57,2017
Vizianagaram,Red Loam,1118,Pulses,Rabi,83738,84575,1.01,2017
Vizianagaram,Red Loam,720,Tomato,Rabi,70996,1970848,27.76,2017
Vizianagaram,Red Loam,500,Chilli,Rabi,107977,377919,3.5,2017
Vizianagaram,Red Loam,536,Sugarcane,Annual,58814,5247973,89.23,2017
Srikakulam,Red Loam,915,Rice,Kharif,70118,299403,4.27,2017
Srikakulam,Red Loam,508,Maize,Rabi,118309,470869,3.98,2017
Srikakulam,Red Loam,1107,Groundnut,Kharif,6675,13216,1.98,2017
Srikakulam,Red Loam,737,Cotton,Kharif,117925,297171,2.52,2017
Srikakulam,Red Loam,578,Millets,Kharif,122582,166711,1.36,2017
Srikakulam,Red Loam,1016,Pulses,Rabi,77917,108304,1.39,2017
Srikakulam,Red Loam,949,Tomato,Rabi,89313,2974122,33.3,2017
Srikakulam,Red Loam,599,Chilli,Rabi,137492,371228,2.7,2017
Srikakulam,Red Loam,565,Sugarcane,Annual,146984,12759681,86.81,2017
Kurnool,Black Soil,732,Rice,Kharif,115776,527938,4.56,2017
Kurnool,Black Soil,1007,Maize,Rabi,99287,483527,4.87,2017
Kurnool,Black Soil,1190,Groundnut,Kharif,81713,146266,1.79,2017
Kurnool,Black Soil,628,Cotton,Kharif,47780,121838,2.55,2017
Kurnool,Black Soil,765,Millets,Kharif,91758,154153,1.68,2017
Kurnool,Black Soil,827,Pulses,Rabi,23426,25534,1.09,2017
Kurnool,Black Soil,591,Tomato,Rabi,119781,3505989,29.27,2017
Kurnool,Black Soil,562,Chilli,Rabi,119729,390316,3.26,2017
Kurnool,Black Soil,640,Sugarcane,Annual,110938,9540668,86.0,2017
Eluru,Clay Loam,957,Rice,Kharif,62549,277717,4.44,2017
Eluru,Clay Loam,1071,Maize,Rabi,38114,179135,4.7,2017
Eluru,Clay Loam,997,Groundnut,Kharif,140207,307053,2.19,2017
Eluru,Clay Loam,505,Cotton,Kharif,22098,47068,2.13,2017
Eluru,Clay Loam,856,Millets,Kharif,108939,153603,1.41,2017
Eluru,Clay Loam,593,Pulses,Rabi,7913,9970,1.26,2017
Eluru,Clay Loam,903,Tomato,Rabi,122900,3001218,24.42,2017
Eluru,Clay Loam,1198,Chilli,Rabi,75065,264228,3.52,2017
Eluru,Clay Loam,1065,Sugarcane,Annual,130497,10144836,77.74,2017
Bapatla,Sandy Loam,768,Rice,Kharif,95933,478705,4.99,2017
Bapatla,Sandy Loam,513,Maize,Rabi,71763,289204,4.03,2017
Bapatla,Sandy Loam,1123,Groundnut,Kharif,45262,93239,2.06,2017
Bapatla,Sandy Loam,843,Cotton,Kharif,49983,93968,1.88,2017
Bapatla,Sandy Loam,1002,Millets,Kharif,12362,17801,1.44,2017
Bapatla,Sandy Loam,738,Pulses,Rabi,136341,175879,1.29,2017
Bapatla,Sandy Loam,1151,Tomato,Rabi,91468,2352556,25.72,2017
Bapatla,Sandy Loam,598,Chilli,Rabi,43729,148678,3.4,2017
Bapatla,Sandy Loam,1031,Sugarcane,Annual,90968,8305378,91.3,2017
Anantapur,Red Soil,751,Rice,Kharif,5125,24753,4.83,2018
Anantapur,Red Soil,822,Maize,Rabi,146551,725427,4.95,2018
Anantapur,Red Soil,688,Groundnut,Kharif,143496,304211,2.12,2018
Anantapur,Red Soil,904,Cotton,Kharif,79494,218608,2.75,2018
Anantapur,Red Soil,1042,Millets,Kharif,58702,77486,1.32,2018
Anantapur,Red Soil,915,Pulses,Rabi,56627,73615,1.3,2018
Anantapur,Red Soil,1024,Tomato,Rabi,60545,1289608,21.3,2018
Anantapur,Red Soil,892,Chilli,Rabi,66654,173300,2.6,2018
Anantapur,Red Soil,529,Sugarcane,Annual,48989,4489841,91.65,2018
Chittoor,Red Soil,619,Rice,Kharif,64566,317019,4.91,2018
Chittoor,Red Soil,787,Maize,Rabi,11845,54842,4.63,2018
Chittoor,Red Soil,702,Groundnut,Kharif,26653,51440,1.93,2018
Chittoor,Red Soil,626,Cotton,Kharif,50640,136728,2.7,2018
Chittoor,Red Soil,526,Millets,Kharif,33467,57563,1.72,2018
Chittoor,Red Soil,674,Pulses,Rabi,70287,102619,1.46,2018
Chittoor,Red Soil,648,Tomato,Rabi,18722,587683,31.39,2018
Chittoor,Red Soil,882,Chilli,Rabi,44794,135725,3.03,2018
Chittoor,Red Soil,560,Sugarcane,Annual,60155,4642762,77.18,2018
Guntur,Clay Loam,585,Rice,Kharif,38561,156172,4.05,2018
Guntur,Clay Loam,961,Maize,Rabi,56269,243082,4.32,2018
Guntur,Clay Loam,517,Groundnut,Kharif,124437,196610,1.58,2018
Guntur,Clay Loam,583,Cotton,Kharif,10611,24829,2.34,2018
Guntur,Clay Loam,560,Millets,Kharif,149008,268214,1.8,2018
Guntur,Clay Loam,570,Pulses,Rabi,130617,133229,1.02,2018
Guntur,Clay Loam,827,Tomato,Rabi,113158,3495450,30.89,2018
Guntur,Clay Loam,609,Chilli,Rabi,81307,288639,3.55,2018
Guntur,Clay Loam,732,Sugarcane,Annual,34170,2880872,84.31,2018
Krishna,Clay Loam,712,Rice,Kharif,47165,219788,4.66,2018
Krishna,Clay Loam,1031,Maize,Rabi,128641,567306,4.41,2018
Krishna,Clay Loam,546,Groundnut,Kharif,41740,60105,1.44,2018
Krishna,Clay Loam,577,Cotton,Kharif,128130,303668,2.37,2018
Krishna,Clay Loam,1030,Millets,Kharif,136560,219861,1.61,2018
Krishna,Clay Loam,1038,Pulses,Rabi,113516,141895,1.25,2018
Krishna,Clay Loam,796,Tomato,Rabi,78708,2580835,32.79,2018
Krishna,Clay Loam,1089,Chilli,Rabi,104829,274651,2.62,2018
Krishna,Clay Loam,649,Sugarcane,Annual,147134,11758949,79.92,2018
East Godavari,Clay Soil,1007,Rice,Kharif,9990,42357,4.24,2018
East Godavari,Clay Soil,906,Maize,Rabi,142156,598476,4.21,2018
East Godavari,Clay Soil,731,Groundnut,Kharif,98717,203357,2.06,2018
East Godavari,Clay Soil,1166,Cotton,Kharif,139729,363295,2.6,2018
East Godavari,Clay Soil,703,Millets,Kharif,22439,39941,1.78,2018
East Godavari,Clay Soil,889,Pulses,Rabi,146828,174725,1.19,2018
East Godavari,Clay Soil,1114,Tomato,Rabi,142056,4483287,31.56,2018
East Godavari,Clay Soil,1042,Chilli,Rabi,105270,321073,3.05,2018
East Godavari,Clay Soil,1037,Sugarcane,Annual,112222,9818302,87.49,2018
West Godavari,Clay Soil,571,Rice,Kharif,79521,383291,4.82,2018
West Godavari,Clay Soil,859,Maize,Rabi,45248,207235,4.58,2018
West Godavari,Clay Soil,1080,Groundnut,Kharif,56875,94412,1.66,2018
West Godavari,Clay Soil,1178,Cotton,Kharif,39112,87610,2.24,2018
West Godavari,Clay Soil,1172,Millets,Kharif,9733,12750,1.31,2018
West Godavari,Clay Soil,625,Pulses,Rabi,21826,33393,1.53,2018
West Godavari,Clay Soil,877,Tomato,Rabi,59865,2073124,34.63,2018
West Godavari,Clay Soil,828,Chilli,Rabi,98306,375528,3.82,2018
West Godavari,Clay Soil,1169,Sugarcane,Annual,25645,2398320,93.52,2018
Prakasam,Red Soil,655,Rice,Kharif,120995,546897,4.52,2018
Prakasam,Red Soil,846,Maize,Rabi,119932,466535,3.89,2018
Prakasam,Red Soil,636,Groundnut,Kharif,66208,123808,1.87,2018
Prakasam,Red Soil,1153,Cotton,Kharif,41994,87347,2.08,2018
Prakasam,Red Soil,513,Millets,Kharif,42055,74857,1.78,2018
Prakasam,Red Soil,900,Pulses,Rabi,90200,117260,1.3,2018
Prakasam,Red Soil,604,Tomato,Rabi,44628,980477,21.97,2018
Prakasam,Red Soil,853,Chilli,Rabi,149045,408383,2.74,2018
Prakasam,Red Soil,873,Sugarcane,Annual,137384,9702058,70.62,2018
Kadapa,Red Soil,536,Rice,Kharif,61072,298031,4.88,2018
Kadapa,Red Soil,725,Maize,Rabi,22804,99881,4.38,2018
Kadapa,Red Soil,755,Groundnut,Kharif,77905,165937,2.13,2018
Kadapa,Red Soil,1026,Cotton,Kharif,45582,119424,2.62,2018
Kadapa,Red Soil,648,Millets,Kharif,104937,172096,1.64,2018
Kadapa,Red Soil,1132,Pulses,Rabi,36652,40317,1.1,2018
Kadapa,Red Soil,692,Tomato,Rabi,97034,2918782,30.08,2018
Kadapa,Red Soil,1067,Chilli,Rabi,147788,472921,3.2,2018
Kadapa,Red Soil,518,Sugarcane,Annual,52030,4564591,87.73,2018
Nellore,Sandy Soil,527,Rice,Kharif,120379,587449,4.88,2018
Nellore,Sandy Soil,564,Maize,Rabi,144936,598585,4.13,2018
Nellore,Sandy Soil,663,Groundnut,Kharif,91532,161096,1.76,2018
Nellore,Sandy Soil,636,Cotton,Kharif,131392,314026,2.39,2018
Nellore,Sandy Soil,750,Millets,Kharif,136347,224972,1.65,2018
Nellore,Sandy Soil,835,Pulses,Rabi,126948,140912,1.11,2018
Nellore,Sandy Soil,827,Tomato,Rabi,116469,2541353,21.82,2018
Nellore,Sandy Soil,881,Chilli,Rabi,125243,383243,3.06,2018
Nellore,Sandy Soil,1039,Sugarcane,Annual,35952,3324840,92.48,2018
Visakhapatnam,Laterite Soil,1163,Rice,Kharif,48153,215243,4.47,2018
Visakhapatnam,Laterite Soil,626,Maize,Rabi,137702,578348,4.2,2018
Visakhapatnam,Laterite Soil,544,Groundnut,Kharif,57280,115705,2.02,2018
Visakhapatnam,Laterite Soil,839,Cotton,Kharif,148073,398316,2.69,2018
Visakhapatnam,Laterite Soil,586,Millets,Kharif,37067,57083,1.54,2018
Visakhapatnam,Laterite Soil,906,Pulses,Rabi,124644,142094,1.14,2018
Visakhapatnam,Laterite Soil,889,Tomato,Rabi,55225,1382281,25.03,2018
Visakhapatnam,Laterite Soil,1190,Chilli,Rabi,54809,151272,2.76,2018
Visakhapatnam,Laterite Soil,925,Sugarcane,Annual,133027,12521831,94.13,2018
Vizianagaram,Red Loam,1069,Rice,Kharif,132516,646678,4.88,2018
Vizianagaram,Red Loam,1061,Maize,Rabi,68565,274260,4.0,2018
Vizianagaram,Red Loam,792,Groundnut,Kharif,85094,119131,1.4,2018
Vizianagaram,Red Loam,1112,Cotton,Kharif,143781,345074,2.4,2018
Vizianagaram,Red Loam,712,Millets,Kharif,76076,125525,1.65,2018
Vizianagaram,Red Loam,726,Pulses,Rabi,46292,49069,1.06,2018
Vizianagaram,Red Loam,1136,Tomato,Rabi,21283,585282,27.5,2018
Vizianagaram,Red Loam,669,Chilli,Rabi,137954,419380,3.04,2018
Vizianagaram,Red Loam,1038,Sugarcane,Annual,120638,10204768,84.59,2018
Srikakulam,Red Loam,1157,Rice,Kharif,89310,460839,5.16,2018
Srikakulam,Red Loam,533,Maize,Rabi,59270,244785,4.13,2018
Srikakulam,Red Loam,855,Groundnut,Kharif,54111,105516,1.95,2018
Srikakulam,Red Loam,1155,Cotton,Kharif,11543,27472,2.38,2018
Srikakulam,Red Loam,925,Millets,Kharif,148850,190528,1.28,2018
Srikakulam,Red Loam,1033,Pulses,Rabi,126256,175495,1.39,2018
Srikakulam,Red Loam,832,Tomato,Rabi,90991,2496793,27.44,2018
Srikakulam,Red Loam,814,Chilli,Rabi,52536,168115,3.2,2018
Srikakulam,Red Loam,975,Sugarcane,Annual,31627,2778431,87.85,2018
Kurnool,Black Soil,1200,Rice,Kharif,134056,580462,4.33,2018
Kurnool,Black Soil,1006,Maize,Rabi,56036,261127,4.66,2018
Kurnool,Black Soil,1010,Groundnut,Kharif,122940,180721,1.47,2018
Kurnool,Black Soil,1047,Cotton,Kharif,5595,11749,2.1,2018
Kurnool,Black Soil,731,Millets,Kharif,41286,74314,1.8,2018
Kurnool,Black Soil,872,Pulses,Rabi,36878,46466,1.26,2018
Kurnool,Black Soil,913,Tomato,Rabi,76056,2239088,29.44,2018
Kurnool,Black Soil,893,Chilli,Rabi,76032,191600,2.52,2018
Kurnool,Black Soil,939,Sugarcane,Annual,129547,9753593,75.29,2018
Eluru,Clay Loam,904,Rice,Kharif,100705,508560,5.05,2018
Eluru,Clay Loam,995,Maize,Rabi,67164,310297,4.62,2018
Eluru,Clay Loam,1139,Groundnut,Kharif,102584,144643,1.41,2018
Eluru,Clay Loam,873,Cotton,Kharif,22242,58941,2.65,2018
Eluru,Clay Loam,590,Millets,Kharif,96727,116072,1.2,2018
Eluru,Clay Loam,1111,Pulses,Rabi,53956,68524,1.27,2018
Eluru,Clay Loam,1147,Tomato,Rabi,95204,2337258,24.55,2018
Eluru,Clay Loam,816,Chilli,Rabi,119749,358049,2.99,2018
Eluru,Clay Loam,521,Sugarcane,Annual,133127,12643071,94.97,2018
Bapatla,Sandy Loam,917,Rice,Kharif,146612,689076,4.7,2018
Bapatla,Sandy Loam,959,Maize,Rabi,52571,214489,4.08,2018
Bapatla,Sandy Loam,1122,Groundnut,Kharif,99496,162178,1.63,2018
Bapatla,Sandy Loam,590,Cotton,Kharif,145088,375777,2.59,2018
Bapatla,Sandy Loam,602,Millets,Kharif,144622,177885,1.23,2018
Bapatla,Sandy Loam,955,Pulses,Rabi,83739,120584,1.44,2018
Bapatla,Sandy Loam,776,Tomato,Rabi,94248,3251556,34.5,2018
Bapatla,Sandy Loam,643,Chilli,Rabi,135811,497068,3.66,2018
Bapatla,Sandy Loam,589,Sugarcane,Annual,24999,1974671,78.99,2018
Anantapur,Red Soil,966,Rice,Kharif,106503,489913,4.6,2019
Anantapur,Red Soil,524,Maize,Rabi,46652,228128,4.89,2019
Anantapur,Red Soil,940,Groundnut,Kharif,10603,18131,1.71,2019
Anantapur,Red Soil,770,Cotton,Kharif,109754,221703,2.02,2019
Anantapur,Red Soil,791,Millets,Kharif,21432,31719,1.48,2019
Anantapur,Red Soil,528,Pulses,Rabi,87735,140376,1.6,2019
Anantapur,Red Soil,1144,Tomato,Rabi,72790,2157495,29.64,2019
Anantapur,Red Soil,1079,Chilli,Rabi,26726,82850,3.1,2019
Anantapur,Red Soil,1033,Sugarcane,Annual,66872,4695083,70.21,2019
Chittoor,Red Soil,976,Rice,Kharif,96092,408391,4.25,2019
Chittoor,Red Soil,860,Maize,Rabi,140601,645358,4.59,2019
Chittoor,Red Soil,734,Groundnut,Kharif,95275,191502,2.01,2019
Chittoor,Red Soil,1161,Cotton,Kharif,40433,102699,2.54,2019
Chittoor,Red Soil,601,Millets,Kharif,98658,122335,1.24,2019
Chittoor,Red Soil,721,Pulses,Rabi,87411,125871,1.44,2019
Chittoor,Red Soil,583,Tomato,Rabi,133228,2843085,21.34,2019
Chittoor,Red Soil,766,Chilli,Rabi,127142,423382,3.33,2019
Chittoor,Red Soil,754,Sugarcane,Annual,34299,2457180,71.64,2019
Guntur,Clay Loam,1004,Rice,Kharif,20748,105814,5.1,2019
Guntur,Clay Loam,516,Maize,Rabi,88343,423162,4.79,2019
Guntur,Clay Loam,604,Groundnut,Kharif,47713,99720,2.09,2019
Guntur,Clay Loam,906,Cotton,Kharif,111088,246615,2.22,2019
Guntur,Clay Loam,1078,Millets,Kharif,89181,135555,1.52,2019
Guntur,Clay Loam,806,Pulses,Rabi,137555,180197,1.31,2019
Guntur,Clay Loam,1192,Tomato,Rabi,76698,2511859,32.75,2019
Guntur,Clay Loam,644,Chilli,Rabi,117044,316018,2.7,2019
Guntur,Clay Loam,874,Sugarcane,Annual,40722,3184867,78.21,2019
Krishna,Clay Loam,681,Rice,Kharif,7306,36237,4.96,2019
Krishna,Clay Loam,1189,Maize,Rabi,34356,142920,4.16,2019
Krishna,Clay Loam,1099,Groundnut,Kharif,21872,42869,1.96,2019
Krishna,Clay Loam,870,Cotton,Kharif,34383,81487,2.37,2019
Krishna,Clay Loam,1083,Millets,Kharif,68156,87239,1.28,2019
Krishna,Clay Loam,572,Pulses,Rabi,84471,87849,1.04,2019
Krishna,Clay Loam,1022,Tomato,Rabi,29694,1005438,33.86,2019
Krishna,Clay Loam,1193,Chilli,Rabi,5386,17450,3.24,2019
Krishna,Clay Loam,961,Sugarcane,Annual,143378,11617919,81.03,2019
East Godavari,Clay Soil,966,Rice,Kharif,36610,149368,4.08,2019
East Godavari,Clay Soil,519,Maize,Rabi,34933,154403,4.42,2019
East Godavari,Clay Soil,990,Groundnut,Kharif,73905,110857,1.5,2019
East Godavari,Clay Soil,942,Cotton,Kharif,100676,196318,1.95,2019
East Godavari,Clay Soil,783,Millets,Kharif,99406,120281,1.21,2019
East Godavari,Clay Soil,665,Pulses,Rabi,5080,6197,1.22,2019
East Godavari,Clay Soil,915,Tomato,Rabi,40754,1095467,26.88,2019
East Godavari,Clay Soil,534,Chilli,Rabi,87240,348087,3.99,2019
East Godavari,Clay Soil,885,Sugarcane,Annual,138090,12771944,92.49,2019
West Godavari,Clay Soil,1012,Rice,Kharif,130853,669967,5.12,2019
West Godavari,Clay Soil,797,Maize,Rabi,132709,557377,4.2,2019
West Godavari,Clay Soil,1192,Groundnut,Kharif,19431,37501,1.93,2019
West Godavari,Clay Soil,854,Cotton,Kharif,140304,307265,2.19,2019
West Godavari,Clay Soil,777,Millets,Kharif,124697,203256,1.63,2019
West Godavari,Clay Soil,1040,Pulses,Rabi,52590,80988,1.54,2019
West Godavari,Clay Soil,659,Tomato,Rabi,103526,2442178,23.59,2019
West Godavari,Clay Soil,1145,Chilli,Rabi,11712,35018,2.99,2019
West Godavari,Clay Soil,1090,Sugarcane,Annual,68349,5066027,74.12,2019
Prakasam,Red Soil,520,Rice,Kharif,122481,627102,5.12,2019
Prakasam,Red Soil,1178,Maize,Rabi,55128,271229,4.92,2019
Prakasam,Red Soil,1106,Groundnut,Kharif,55958,81139,1.45,2019
Prakasam,Red Soil,841,Cotton,Kharif,134751,315317,2.34,2019
Prakasam,Red Soil,913,Millets,Kharif,25415,41934,1.65,2019
Prakasam,Red Soil,961,Pulses,Rabi,87012,115725,1.33,2019
Prakasam,Red Soil,1137,Tomato,Rabi,30054,793425,26.4,2019
Prakasam,Red Soil,607,Chilli,Rabi,29667,116294,3.92,2019
Prakasam,Red Soil,995,Sugarcane,Annual,26408,2373286,89.87,2019
Kadapa,Red Soil,1064,Rice,Kharif,118248,560495,4.74,2019
Kadapa,Red Soil,604,Maize,Rabi,24713,100829,4.08,2019
Kadapa,Red Soil,958,Groundnut,Kharif,22700,46534,2.05,2019
Kadapa,Red Soil,513,Cotton,Kharif,66669,121337,1.82,2019
Kadapa,Red Soil,735,Millets,Kharif,79887,127020,1.59,2019
Kadapa,Red Soil,1162,Pulses,Rabi,118791,165119,1.39,2019
Kadapa,Red Soil,851,Tomato,Rabi,95999,3359965,35.0,2019
Kadapa,Red Soil,973,Chilli,Rabi,74733,233914,3.13,2019
Kadapa,Red Soil,788,Sugarcane,Annual,134068,12701602,94.74,2019
Nellore,Sandy Soil,1154,Rice,Kharif,127405,610269,4.79,2019
Nellore,Sandy Soil,1086,Maize,Rabi,32300,150195,4.65,2019
Nellore,Sandy Soil,805,Groundnut,Kharif,97602,213748,2.19,2019
Nellore,Sandy Soil,862,Cotton,Kharif,103213,185783,1.8,2019
Nellore,Sandy Soil,544,Millets,Kharif,121917,181656,1.49,2019
Nellore,Sandy Soil,1200,Pulses,Rabi,30100,32508,1.08,2019
Nellore,Sandy Soil,656,Tomato,Rabi,119275,3577057,29.99,2019
Nellore,Sandy Soil,1015,Chilli,Rabi,139876,510547,3.65,2019
Nellore,Sandy Soil,785,Sugarcane,Annual,148325,13548005,91.34,2019
Visakhapatnam,Laterite Soil,709,Rice,Kharif,142254,597466,4.2,2019
Visakhapatnam,Laterite Soil,1164,Maize,Rabi,49442,227433,4.6,2019
Visakhapatnam,Laterite Soil,867,Groundnut,Kharif,80829,130134,1.61,2019
Visakhapatnam,Laterite Soil,1042,Cotton,Kharif,48139,116977,2.43,2019
Visakhapatnam,Laterite Soil,811,Millets,Kharif,7400,10952,1.48,2019
Visakhapatnam,Laterite Soil,957,Pulses,Rabi,142510,195238,1.37,2019
Visakhapatnam,Laterite Soil,1188,Tomato,Rabi,100419,2489387,24.79,2019
Visakhapatnam,Laterite Soil,778,Chilli,Rabi,116442,303913,2.61,2019
Visakhapatnam,Laterite Soil,952,Sugarcane,Annual,138225,12184533,88.15,2019
Vizianagaram,Red Loam,903,Rice,Kharif,26324,126091,4.79,2019
Vizianagaram,Red Loam,1146,Maize,Rabi,92762,370120,3.99,2019
Vizianagaram,Red Loam,922,Groundnut,Kharif,51622,104276,2.02,2019
Vizianagaram,Red Loam,699,Cotton,Kharif,91992,202382,2.2,2019
Vizianagaram,Red Loam,704,Millets,Kharif,75726,102230,1.35,2019
Vizianagaram,Red Loam,679,Pulses,Rabi,30821,36676,1.19,2019
Vizianagaram,Red Loam,1162,Tomato,Rabi,115680,3638136,31.45,2019
Vizianagaram,Red Loam,862,Chilli,Rabi,78177,311926,3.99,2019
Vizianagaram,Red Loam,627,Sugarcane,Annual,99011,7198099,72.7,2019
Srikakulam,Red Loam,1195,Rice,Kharif,111540,480737,4.31,2019
Srikakulam,Red Loam,703,Maize,Rabi,129284,492572,3.81,2019
Srikakulam,Red Loam,1147,Groundnut,Kharif,86551,163581,1.89,2019
Srikakulam,Red Loam,502,Cotton,Kharif,70566,176415,2.5,2019
Srikakulam,Red Loam,995,Millets,Kharif,25567,38606,1.51,2019
Srikakulam,Red Loam,938,Pulses,Rabi,31138,38611,1.24,2019
Srikakulam,Red Loam,1188,Tomato,Rabi,114353,3420298,29.91,2019
Srikakulam,Red Loam,1115,Chilli,Rabi,148191,558680,3.77,2019
Srikakulam,Red Loam,915,Sugarcane,Annual,49335,3647829,73.94,2019
Kurnool,Black Soil,934,Rice,Kharif,148350,642355,4.33,2019
Kurnool,Black Soil,769,Maize,Rabi,13978,56610,4.05,2019
Kurnool,Black Soil,1056,Groundnut,Kharif,67019,115272,1.72,2019
Kurnool,Black Soil,717,Cotton,Kharif,63599,173625,2.73,2019
Kurnool,Black Soil,578,Millets,Kharif,79218,103775,1.31,2019
Kurnool,Black Soil,512,Pulses,Rabi,69574,98099,1.41,2019
Kurnool,Black Soil,1004,Tomato,Rabi,5011,112246,22.4,2019
Kurnool,Black Soil,1126,Chilli,Rabi,128657,478604,3.72,2019
Kurnool,Black Soil,750,Sugarcane,Annual,134012,9764114,72.86,2019
Eluru,Clay Loam,1006,Rice,Kharif,135466,651591,4.81,2019
Eluru,Clay Loam,712,Maize,Rabi,96370,400899,4.16,2019
Eluru,Clay Loam,1052,Groundnut,Kharif,143605,221151,1.54,2019
Eluru,Clay Loam,963,Cotton,Kharif,117758,249646,2.12,2019
Eluru,Clay Loam,1159,Millets,Kharif,59964,79152,1.32,2019
Eluru,Clay Loam,856,Pulses,Rabi,48758,77525,1.59,2019
Eluru,Clay Loam,667,Tomato,Rabi,6015,190194,31.62,2019
Eluru,Clay Loam,1090,Chilli,Rabi,33315,93282,2.8,2019
Eluru,Clay Loam,556,Sugarcane,Annual,7352,646755,87.97,2019
Bapatla,Sandy Loam,866,Rice,Kharif,44439,201308,4.53,2019
Bapatla,Sandy Loam,680,Maize,Rabi,140227,642239,4.58,2019
Bapatla,Sandy Loam,1179,Groundnut,Kharif,30831,55495,1.8,2019
Bapatla,Sandy Loam,656,Cotton,Kharif,47095,117737,2.5,2019
Bapatla,Sandy Loam,610,Millets,Kharif,70434,96494,1.37,2019
Bapatla,Sandy Loam,734,Pulses,Rabi,103067,137079,1.33,2019
Bapatla,Sandy Loam,518,Tomato,Rabi,21479,493157,22.96,2019
Bapatla,Sandy Loam,977,Chilli,Rabi,93151,256165,2.75,2019
Bapatla,Sandy Loam,661,Sugarcane,Annual,81504,7185392,88.16,2019
Anantapur,Red Soil,1133,Rice,Kharif,57270,250842,4.38,2020
Anantapur,Red Soil,951,Maize,Rabi,93312,390044,4.18,2020
Anantapur,Red Soil,681,Groundnut,Kharif,102925,183206,1.78,2020
Anantapur,Red Soil,1152,Cotton,Kharif,74692,173285,2.32,2020
Anantapur,Red Soil,923,Millets,Kharif,106455,141585,1.33,2020
Anantapur,Red Soil,873,Pulses,Rabi,149508,173429,1.16,2020
Anantapur,Red Soil,873,Tomato,Rabi,43251,1397007,32.3,2020
Anantapur,Red Soil,1109,Chilli,Rabi,138654,407642,2.94,2020
Anantapur,Red Soil,625,Sugarcane,Annual,29959,2521049,84.15,2020
Chittoor,Red Soil,629,Rice,Kharif,19679,95443,4.85,2020
Chittoor,Red Soil,1004,Maize,Rabi,78061,390305,5.0,2020
Chittoor,Red Soil,959,Groundnut,Kharif,108847,217694,2.0,2020
Chittoor,Red Soil,811,Cotton,Kharif,134516,320148,2.38,2020
Chittoor,Red Soil,603,Millets,Kharif,29891,50515,1.69,2020
Chittoor,Red Soil,983,Pulses,Rabi,42524,60384,1.42,2020
Chittoor,Red Soil,826,Tomato,Rabi,104948,3655338,34.83,2020
Chittoor,Red Soil,840,Chilli,Rabi,73134,244998,3.35,2020
Chittoor,Red Soil,938,Sugarcane,Annual,55759,5045074,90.48,2020
Guntur,Clay Loam,731,Rice,Kharif,93839,455119,4.85,2020
Guntur,Clay Loam,847,Maize,Rabi,63440,270254,4.26,2020
Guntur,Clay Loam,738,Groundnut,Kharif,21914,34185,1.56,2020
Guntur,Clay Loam,639,Cotton,Kharif,29615,62487,2.11,2020
Guntur,Clay Loam,1138,Millets,Kharif,104369,125242,1.2,2020
Guntur,Clay Loam,806,Pulses,Rabi,26909,37134,1.38,2020
Guntur,Clay Loam,942,Tomato,Rabi,58032,1579050,27.21,2020
Guntur,Clay Loam,680,Chilli,Rabi,137937,400017,2.9,2020
Guntur,Clay Loam,1099,Sugarcane,Annual,104111,7635500,73.34,2020
Krishna,Clay Loam,581,Rice,Kharif,20036,86154,4.3,2020
Krishna,Clay Loam,1135,Maize,Rabi,69437,334686,4.82,2020
Krishna,Clay Loam,515,Groundnut,Kharif,60831,130178,2.14,2020
Krishna,Clay Loam,613,Cotton,Kharif,131724,305599,2.32,2020
Krishna,Clay Loam,1087,Millets,Kharif,71971,126668,1.76,2020
Krishna,Clay Loam,707,Pulses,Rabi,66633,69298,1.04,2020
Krishna,Clay Loam,1161,Tomato,Rabi,74914,2206217,29.45,2020
Krishna,Clay Loam,623,Chilli,Rabi,88801,241538,2.72,2020
Krishna,Clay Loam,1194,Sugarcane,Annual,66195,6037645,91.21,2020
East Godavari,Clay Soil,1056,Rice,Kharif,88851,421153,4.74,2020
East Godavari,Clay Soil,560,Maize,Rabi,48092,190925,3.97,2020
East Godavari,Clay Soil,532,Groundnut,Kharif,106846,210486,1.97,2020
East Godavari,Clay Soil,851,Cotton,Kharif,141089,337202,2.39,2020
East Godavari,Clay Soil,692,Millets,Kharif,144921,189846,1.31,2020
East Godavari,Clay Soil,1113,Pulses,Rabi,137124,215284,1.57,2020
East Godavari,Clay Soil,693,Tomato,Rabi,141233,3619801,25.63,2020
East Godavari,Clay Soil,744,Chilli,Rabi,140285,559737,3.99,2020
East Godavari,Clay Soil,959,Sugarcane,Annual,85327,7688815,90.11,2020
West Godavari,Clay Soil,1122,Rice,Kharif,148321,605149,4.08,2020
West Godavari,Clay Soil,642,Maize,Rabi,83506,377447,4.52,2020
West Godavari,Clay Soil,789,Groundnut,Kharif,69400,108958,1.57,2020
West Godavari,Clay Soil,926,Cotton,Kharif,91511,217796,2.38,2020
West Godavari,Clay Soil,768,Millets,Kharif,94772,141210,1.49,2020
West Godavari,Clay Soil,748,Pulses,Rabi,67956,83585,1.23,2020
West Godavari,Clay Soil,686,Tomato,Rabi,110320,2333268,21.15,2020
West Godavari,Clay Soil,1055,Chilli,Rabi,116354,386295,3.32,2020
